mysql> select category, description, count(refseq.id) from go, refseq, gorefs where category = 'Function' and gorefs.refseq_id = refseq.id and go.id = gorefs.go_id group by go.description order by count(refseq.id) desc;
+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| category | description                                                                                                                                                                                 | count(refseq.id) |
| Function | aromatase activity                                                                                                                                                                          |               15 | 
| Function | DNA-directed RNA polymerase activity                                                                                                                                                        |               14 | 
| Function | alcohol dehydrogenase (NAD) activity                                                                                                                                                        |               14 | 
| Function | nuclease activity                                                                                                                                                                           |               14 | 
| Function | sialyltransferase activity                                                                                                                                                                  |               14 | 
| Function | hydrolase activity, acting on glycosyl bonds                                                                                                                                                |               14 | 
| Function | peptide binding                                                                                                                                                                             |               14 | 
| Function | tRNA binding                                                                                                                                                                                |               13 | 
| Function | damaged DNA binding                                                                                                                                                                         |               13 | 
| Function | double-stranded RNA binding                                                                                                                                                                 |               13 | 
| Function | carboxypeptidase activity                                                                                                                                                                   |               13 | 
| Function | helicase activity                                                                                                                                                                           |               13 | 
| Function | peroxidase activity                                                                                                                                                                         |               13 | 
| Function | cytokine receptor activity                                                                                                                                                                  |               13 | 
| Function | GTPase activator activity                                                                                                                                                                   |               13 | 
| Function | voltage-gated ion channel activity                                                                                                                                                          |               13 | 
| Function | steroid binding                                                                                                                                                                             |               13 | 
| Function | fucosyltransferase activity                                                                                                                                                                 |               13 | 
| Function | amino acid binding                                                                                                                                                                          |               13 | 
| Function | acyl-CoA binding                                                                                                                                                                            |               12 | 
| Function | mRNA binding                                                                                                                                                                                |               12 | 
| Function | L-lactate dehydrogenase activity                                                                                                                                                            |               12 | 
| Function | cyclin-dependent protein kinase activity                                                                                                                                                    |               12 | 
| Function | endopeptidase inhibitor activity                                                                                                                                                            |               12 | 
| Function | N-acetyltransferase activity                                                                                                                                                                |               12 | 
| Function | RNA polymerase II transcription mediator activity                                                                                                                                           |               12 | 
| Function | transferase activity, transferring phosphorus-containing groups                                                                                                                             |               12 | 
| Function | retinol binding                                                                                                                                                                             |               12 | 
| Function | NADP or NADPH binding                                                                                                                                                                       |               12 | 
| Function | 3'-5'-exoribonuclease activity                                                                                                                                                              |               11 | 
| Function | guanyl-nucleotide exchange factor activity                                                                                                                                                  |               11 | 
| Function | voltage-gated chloride channel activity                                                                                                                                                     |               11 | 
| Function | protein tyrosine/serine/threonine phosphatase activity                                                                                                                                      |               11 | 
| Function | drug binding                                                                                                                                                                                |               11 | 
| Function | voltage-gated anion channel activity                                                                                                                                                        |               11 | 
| Function | protein disulfide oxidoreductase activity                                                                                                                                                   |               11 | 
| Function | phosphatase activity                                                                                                                                                                        |               11 | 
| Function | hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances                                                                                              |               11 | 
| Function | glutathione binding                                                                                                                                                                         |               11 | 
| Function | transcription cofactor activity                                                                                                                                                             |               10 | 
| Function | NADH dehydrogenase activity                                                                                                                                                                 |               10 | 
| Function | L-aspartate:2-oxoglutarate aminotransferase activity                                                                                                                                        |               10 | 
| Function | calcium-dependent cysteine-type endopeptidase activity                                                                                                                                      |               10 | 
| Function | exonuclease activity                                                                                                                                                                        |               10 | 
| Function | deoxyribonuclease activity                                                                                                                                                                  |               10 | 
| Function | nucleoside diphosphate kinase activity                                                                                                                                                      |               10 | 
| Function | translation factor activity, nucleic acid binding                                                                                                                                           |               10 | 
| Function | oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor                                                                                             |               10 | 
| Function | oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen                                                               |               10 | 
| Function | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen |               10 | 
| Function | GDP binding                                                                                                                                                                                 |               10 | 
| Function | transition metal ion binding                                                                                                                                                                |               10 | 
| Function | chaperone binding                                                                                                                                                                           |               10 | 
| Function | double-stranded DNA binding                                                                                                                                                                 |                9 | 
| Function | transcription elongation regulator activity                                                                                                                                                 |                9 | 
| Function | aminopeptidase activity                                                                                                                                                                     |                9 | 
| Function | histone acetyltransferase activity                                                                                                                                                          |                9 | 
| Function | histone deacetylase activity                                                                                                                                                                |                9 | 
| Function | chitinase activity                                                                                                                                                                          |                9 | 
| Function | phospholipase inhibitor activity                                                                                                                                                            |                9 | 
| Function | protein kinase C binding                                                                                                                                                                    |                9 | 
| Function | nucleoside transmembrane transporter activity                                                                                                                                               |                9 | 
| Function | proteasome activator activity                                                                                                                                                               |                9 | 
| Function | P-P-bond-hydrolysis-driven protein transmembrane transporter activity                                                                                                                       |                9 | 
| Function | superoxide-generating NADPH oxidase activity                                                                                                                                                |                9 | 
| Function | antioxidant activity                                                                                                                                                                        |                9 | 
| Function | oxidoreductase activity, acting on NADH or NADPH                                                                                                                                            |                9 | 
| Function | transferase activity, transferring hexosyl groups                                                                                                                                           |                9 | 
| Function | retinal binding                                                                                                                                                                             |                9 | 
